Table view
"Table","Column","Data Type","Nullable","Primary Key","Foreign Key","Default","Index Type","Partition Strategy","Description","Retention Policy"
"solar_wind_telemetry","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate primary key for telemetry rows","Keep 30 days in hot chunk; compress older"
"solar_wind_telemetry","ts","TIMESTAMPTZ","NO","NO","","now()","BRIN","Timescale hypertable by ts","Measurement timestamp at L1","Hypertable policy: 365 days total; compress after 30 days; drop after 2 years"
"solar_wind_telemetry","spacecraft","TEXT","NO","NO","","","BTREE","","Source spacecraft (e.g., DSCOVR, ACE)",""
"solar_wind_telemetry","proton_density","DOUBLE PRECISION","YES","NO","","","","Solar wind proton density (cm^-3)","",""
"solar_wind_telemetry","speed_kms","DOUBLE PRECISION","YES","NO","","BRIN","","Solar wind speed (km/s)","",""
"solar_wind_telemetry","temperature_k","DOUBLE PRECISION","YES","NO","","","","Proton temperature (K)","",""
"solar_wind_telemetry","alpha_proton_ratio","DOUBLE PRECISION","YES","NO","","","","Alpha/proton ratio","",""
"solar_wind_telemetry","bt_total_nT","DOUBLE PRECISION","YES","NO","","","","Total magnetic field magnitude (nT)","",""
"solar_wind_telemetry","bx_gsm_nT","DOUBLE PRECISION","YES","NO","","","","Magnetic field X (GSM) (nT)","",""
"solar_wind_telemetry","by_gsm_nT","DOUBLE PRECISION","YES","NO","","","","Magnetic field Y (GSM) (nT)","",""
"solar_wind_telemetry","bz_gsm_nT","DOUBLE PRECISION","YES","NO","","BTREE","","Magnetic field Z (GSM) (nT); index for quick southward Bz queries","",""
"solar_wind_telemetry","source_file","TEXT","YES","NO","","","","Ingest source filename or URL","",""
"solar_wind_telemetry","ingested_at","TIMESTAMPTZ","NO","NO","","now()","","","Ingestion time",""
"solar_wind_telemetry","qc_flag","SMALLINT","NO","NO","","0","","","Quality control flag (0=raw,1=qc_pass,2=qc_warn,3=qc_fail)",""
"solar_wind_telemetry","geom_corrected","BOOLEAN","NO","NO","","false","","","Whether geomagnetic bow-shock crossing correction applied",""
"imf_measurements","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Keep 1 year; compress after 30 days"
"imf_measurements","ts","TIMESTAMPTZ","NO","NO","","now()","BRIN","Timescale hypertable by ts","Timestamp of IMF vector measurement","Hypertable policy: 2 years total; compress after 60 days"
"imf_measurements","spacecraft","TEXT","NO","NO","","","BTREE","","Source spacecraft",""
"imf_measurements","bx_gse_nT","DOUBLE PRECISION","YES","NO","","","","IMF Bx in GSE (nT)","",""
"imf_measurements","by_gse_nT","DOUBLE PRECISION","YES","NO","","","","IMF By in GSE (nT)","",""
"imf_measurements","bz_gse_nT","DOUBLE PRECISION","YES","NO","","BTREE","","IMF Bz in GSE (nT); indexed for southward Bz","",""
"imf_measurements","clock_angle_deg","DOUBLE PRECISION","YES","NO","","","","IMF clock angle (°)","",""
"imf_measurements","variance_nT2","DOUBLE PRECISION","YES","NO","","","","Variance over last window","",""
"imf_measurements","window_sec","INTEGER","YES","NO","","","","Averaging window (s)","",""
"sdo_images","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Keep metadata indefinitely"
"sdo_images","obs_time","TIMESTAMPTZ","NO","NO","","","BTREE","","Observation timestamp",""
"sdo_images","instrument","TEXT","NO","NO","","","BTREE","","Instrument (AIA,HMI)",""
"sdo_images","wavelength","INTEGER","YES","NO","","","","Wavelength/channel (AIA Å or HMI code)","",""
"sdo_images","product","TEXT","NO","NO","","","","Product type (e.g., AIA_211, HMI_Magnetogram)","",""
"sdo_images","fits_url","TEXT","NO","NO","","","","URL to FITS file","",""
"sdo_images","jpeg_url","TEXT","YES","NO","","","","URL to quicklook image","",""
"sdo_images","hash_sha256","TEXT","NO","NO","","","","Checksum for integrity","",""
"sdo_images","dim_x","INTEGER","YES","NO","","","","Image width","",""
"sdo_images","dim_y","INTEGER","YES","NO","","","","Image height","",""
"sdo_images","cadence_sec","INTEGER","YES","NO","","","","Acquisition cadence (s)","",""
"sdo_images","ingested_at","TIMESTAMPTZ","NO","NO","","now()","","","Ingestion time",""
"active_regions","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Keep indefinitely"
"active_regions","noaa_ar","INTEGER","NO","NO","","","BTREE","","NOAA Active Region number",""
"active_regions","tracked_from","DATE","NO","NO","","","","First date seen","",""
"active_regions","tracked_to","DATE","YES","NO","","","","Last date seen (NULL if active)","",""
"active_regions","latitude_deg","DOUBLE PRECISION","YES","NO","","","","Heliographic latitude","",""
"active_regions","longitude_deg","DOUBLE PRECISION","YES","NO","","","","Heliographic longitude (Carrington)","",""
"active_regions","classification","TEXT","YES","NO","","","","McIntosh/Mount Wilson classification","",""
"active_regions","hmi_map_id","BIGINT","YES","NO","sdo_images(id)","","","Associated HMI map image id","",""
"cme_events","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Keep indefinitely"
"cme_events","first_seen","TIMESTAMPTZ","NO","NO","","","BTREE","","First appearance time (e.g., LASCO)",""
"cme_events","pa_deg","DOUBLE PRECISION","YES","NO","","","","Position angle (°)","",""
"cme_events","width_deg","DOUBLE PRECISION","YES","NO","","","","Angular width (°)","",""
"cme_events","speed_kms","DOUBLE PRECISION","YES","NO","","","","Plane-of-sky speed (km/s)","",""
"cme_events","halo","BOOLEAN","NO","NO","","false","","","Halo CME flag",""
"cme_events","source_region_id","BIGINT","YES","NO","active_regions(id)","","BTREE","","Associated source active region",""
"cme_events","catalog_ref","TEXT","YES","NO","","","","External catalog ID/reference","",""
"flare_events","id","BIGSERIAL","NO","YES","","","BTREE","","Surrogate key","Keep indefinitely"
