Table view
"Error Code","Error Category","Severity Level","Error Message","Root Cause Description","Impact on System","Automated Resolution","Manual Resolution Steps","Prevention Strategy","Related Metrics to Monitor","Escalation Path","Average Resolution Time (minutes)"
"ERR-1001","Data Ingestion","Critical","SDO data feed unavailable (HTTP 503)","Upstream SDO endpoint outage or network path failure to NASA servers","Solar imagery missing; downstream image pipeline stalls; forecasts degrade","Partial","1) Verify external status: curl -I https://sdo.gsfc.nasa.gov/data/ 2) Switch to fallback mirror: update endpoint in /etc/ingest/sdo.yaml and redeploy: kubectl rollout restart deploy/sdo-ingestor 3) Backfill missing intervals via ingest-backfill --source=sdo --from -6h","Implement multi-endpoint failover with health checks; circuit breaker w/ exponential backoff","stream_processing_lag_ms, network_packet_loss_pct, throughput_msgs_per_sec, svc_availability_pct","On-call Ingestion SRE -> External Provider","30"
"ERR-1002","Data Ingestion","High","ACE solar wind feed timeout","ACE telemetry endpoint responding >30s due to upstream throttling","Partial data gaps; model inputs stale","Yes","If auto-failover misses: kubectl exec ace-ingestor -- curl -sS $ACE_URL; increase timeout in configmap (ingest-timeouts.yaml) and apply; trigger backfill: ingest-backfill --source=ace --from -2h","Use async retries with jitter; maintain cached last-known-good frames","stream_processing_lag_ms, network_packet_loss_pct, throughput_msgs_per_sec, svc_availability_pct","On-call Ingestion SRE","20"
"ERR-1003","Data Ingestion","High","DSCOVR feed returning 429 Too Many Requests","Exceeded upstream rate limits due to retry storm","Data delay; risk of blackouts in features","Partial","Throttle consumers: kubectl set env deploy/dscovr-ingestor MAX_QPS=5; purge retry queue: rdkafka-consumer --topic dscovr-retry --reset-offsets --to-latest --execute","Token-bucket rate limiting; exponential backoff; retry budgets","kafka_consumer_lag, api_rate_limit_hits, throughput_msgs_per_sec","On-call Ingestion SRE","25"
"ERR-1004","Data Ingestion","Medium","Kafka consumer lag increasing for raw-telemetry topic","Slow consumer due to CPU throttling on node","Backlog grows; end-to-end latency increases","Yes","Scale up: kubectl scale deploy/telemetry-consumer --replicas=6; verify autoscaler HPA thresholds","Enable autoscaling on CPU and lag; pin to performance nodes","kafka_consumer_lag, cpu_utilization_pct, throughput_msgs_per_sec","On-call Platform SRE","15"
"ERR-1005","Storage","High","TimescaleDB query timeout (>15s)","Inefficient query plan; missing index on time_bucket + instrument_id","Dashboards and feature queries fail; model latency spikes","No","Add index: CREATE INDEX CONCURRENTLY ON telemetry (instrument_id, time DESC); increase statement_timeout temporarily: ALTER ROLE app SET statement_timeout='30s'; analyze: VACUUM (ANALYZE) telemetry;","Maintain index policy; scheduled EXPLAIN plans; pgbouncer pooling","timescaledb_query_duration_ms, db_connection_pool_in_use","DBA On-call","45"
"ERR-1006","Model Inference","Critical","LSTM inference failure: RuntimeError: shape mismatch","Model artifact version incompatible with feature schema","Predictions halted for stream","Partial","Rollback model: mlflow models serve -m models:/lstm/Production@prev; or helm rollback inference-lstm 1; re-sync feature store schema","Freeze schema; contract tests in CI; canary deploy","model_inference_latency_ms, model_inference_errors_total, accuracy_7d_avg","ML Ops On-call -> Model Owner","20"
"ERR-1007","Model Inference","High","ViT crash: CUDA out of memory","Batch size too large for GPU; memory fragmentation","Image inference fails intermittently","Yes","Auto reduces batch size via env MAX_BATCH=8; manual: nvidia-smi; restart pod: kubectl rollout restart deploy/vit-infer; set torch.set_grad_enabled(False)","Right-size GPU; enable memory pooling; monitor fragmentation","gpu_memory_used_bytes, model_inference_errors_total","ML Ops On-call","25"
"ERR-1008","API Gateway","Medium","API rate limit exceeded for /forecast","Burst from client exceeded per-key quota","Requests throttled; client errors 429","Yes","Check logs: kubectl logs -l app=api-gateway; raise limit for whitelisted partner: kubectl edit configmap rate-limits; notify client","Leaky-bucket per key; sensible defaults; client guidance","api_5xx_rate, api_rate_limit_hits, svc_availability_pct","On-call API Eng","10"
"ERR-1009","Alert Delivery","High","Webhook delivery failure: TLS handshake error","Client endpoint TLS mismatch or expired cert","Alerts undelivered for some subscribers","No","Validate with: curl -v https://client.example.com/webhook; rotate trusted CA bundle; coordinate with client to update TLS; retry queued alerts: alert-retry --tenant=client","Mutual TLS validation; certificate expiry alerts","api_5xx_rate, webhook_delivery_latency_ms, svc_availability_pct","On-call Notification Eng -> Customer","40"
"ERR-1010","Storage","Critical","Disk space exhaustion on /var/lib/postgresql","WAL growth due to long-running transactions and backup lag","Writes fail; ingestion halted","Partial","Free space: pg_archivecleanup; terminate long txns: SELECT pg_terminate_backend(pid) FROM pg_stat_activity WHERE state='idle in transaction'; expand PV: kubectl -n db patch pvc/db-data -p '{...}';","WAL archiving monitoring; quotas; vacuum policies","timescaledb_query_duration_ms, disk_free_bytes, inode_usage_pct","DBA On-call -> Platform","35"
