Table view
"Metric Category","Metric Name","Target Value","Current Performance","Measurement Method","Update Frequency","Alert Threshold","SLA Requirement"
"Latency Metrics","End-to-end prediction latency","< 2 minutes","~90 seconds","API data polling, Message queue delivery metrics, Database ingestion lag monitor","Every 5 minutes","> 1.8 minutes sustained for 2 cycles","< 2 minutes for 95% of runs"
"Latency Metrics","Data ingestion delay","< 30 seconds","~15 seconds","Satellite telemetry, Ground-based sensor arrays, API data polling, Database ingestion lag monitor","Real-time (<1s)","> 25 seconds for 3 consecutive samples","< 30 seconds 99th percentile"
"Latency Metrics","Model inference time","< 500 ms per model","~350 ms","Model-vs-observation comparison, A/B shadow model evaluation","Real-time (<1s)","> 450 ms median over 5 minutes","< 500 ms p95"
"Latency Metrics","Alert delivery time","< 10 seconds","~8 seconds","API data polling, Message queue delivery metrics, Synthetic transaction monitoring","Real-time (<1s)","> 9 seconds for 3 consecutive alerts","< 10 seconds for 99% of alerts"
"Accuracy Metrics","G-scale prediction TSS","> 0.85","~0.88","Model-vs-observation comparison","Daily","TSS < 0.86 over 3-day rolling average","> 0.85 7-day rolling average"
"Accuracy Metrics","Kp index RMSE","< 0.8","~0.72","Ground-based sensor arrays, Model-vs-observation comparison","Hourly","RMSE > 0.78 over last 24 hours","< 0.8 daily average"
"Accuracy Metrics","False alarm rate","< 15%","~12%","Model-vs-observation comparison, Automated anomaly detection scripts","Daily","> 14% rolling 7-day average","< 15% monthly"
"Accuracy Metrics","Missed event rate","< 5%","~4%","Ground-based sensor arrays, Model-vs-observation comparison","Daily","> 4.5% rolling 7-day average","< 5% monthly"
"Accuracy Metrics","Lead time accuracy (24h forecast)","±6 hours","±5 hours","Satellite telemetry, Model-vs-observation comparison","Daily","Bias > ±5.5 hours over 7-day mean","±6 hours or better (monthly)"
"Reliability Metrics","System uptime","99.9%","~99.92%","API data polling, Synthetic transaction monitoring","Daily","< 99.88% over last 30 days","≥ 99.9% monthly"
"Reliability Metrics","Data feed availability","99.5%","~99.6%","Satellite telemetry, Ground-based sensor arrays, API data polling","Hourly","< 99.55% over 7 days","≥ 99.5% monthly"
"Reliability Metrics","Model availability","99.8%","~99.85%","A/B shadow model evaluation, Synthetic transaction monitoring","Hourly","< 99.82% over 7 days","≥ 99.8% monthly"
"Reliability Metrics","API endpoint uptime","99.95%","~99.97%","API data polling, Synthetic transaction monitoring","Hourly","< 99.94% over 7 days","≥ 99.95% monthly"
"Data Quality Metrics","Missing data percentage","< 2%","~1.2%","Ground-based sensor arrays, Automated anomaly detection scripts, Database ingestion lag monitor","Hourly","> 1.8% for 2 consecutive hours","< 2% monthly average"
"Data Quality Metrics","Data latency from source","< 1 minute","~40 seconds","Satellite telemetry, Ground-based sensor arrays, API data polling","Every 5 minutes","> 55 seconds for 3 consecutive checks","< 60 seconds p95"
"Data Quality Metrics","Outlier detection rate","Flag > 3σ","~98% of >3σ outliers flagged","Automated anomaly detection scripts","Hourly","< 96% detection over 24 hours","> 97% detection rate"
"Data Quality Metrics","Cross-validation consistency","> 95%","~96%","Model-vs-observation comparison","Daily","< 94% on 7-day rolling","≥ 95% weekly"
"Business Metrics","Alerts sent per day (G2+)","Typical 2–5/day","~3.2/day","Ground-based sensor arrays, API data polling","Daily","< 1/day or > 6/day sustained (anomaly)","Maintain typical range 2–5/day unless justified by space weather"
"Business Metrics","User response time","< 5 minutes","~4 minutes","API data polling, Synthetic transaction monitoring","Every 5 minutes","> 4.5 minutes median over 1 hour","< 5 minutes median"
"Business Metrics","Satellite operator actions taken (correlation)","Track correlation","~87% correlated","API data polling, Model-vs-observation comparison","Daily","< 80% over 7 days","≥ 85% correlation"
"Business Metrics","Cost per prediction","< $0.10","~$0.09","API data polling","Daily","> $0.095 over 3 days","< $0.10 30-day average"
