Table view
"Endpoint Name","HTTP Method","Authentication Required","Rate Limit (rpm)","Response Format","Latency SLA (ms)","Data Source","Update Frequency","Parameters","Response Schema","Error Codes","Cache Strategy","Webhook Support","Example Use Case"
"/api/v1/telemetry/solar-wind","GET","Yes","120","JSON, XML","800","ACE, DSCOVR","Real-time","query: fields(speed,density,temperature), window=last|1m|5m","{timestamp, source, speed_kms, density_cm3, temperature_K}","400, 401, 429, 500, 503","30s","No","Satellite operators auto-adjust drag models using L1 solar wind speed and density."
"/api/v1/telemetry/imf-bz","GET","Yes","120","JSON, XML","800","ACE, DSCOVR","Real-time","query: window=last|15m, aggregate=avg|min|max","{timestamp, source, bz_nT, by_nT, bx_nT}","400, 401, 429, 500, 503","30s","Yes","Trigger pre-storm procedures when Bz < -15 nT webhook fires."
"/api/v1/telemetry/proton-flux","GET","Yes","90","JSON, XML","900","GOES","Real-time","query: energy_band=10-100MeV, window=last|1h","{timestamp, flux_pfu, energy_band}","400, 401, 429, 500, 503","30s","No","Aviation radiation monitoring for polar routes."
"/api/v1/telemetry/xray-flux","GET","Yes","90","JSON, XML","900","GOES","Real-time","query: class_band=A|B|C|M|X, window=last|1h","{timestamp, xray_flux_Wm2, class, satellite}","400, 401, 429, 500, 503","30s","Yes","Early flare detection to raise comms blackout advisories."
"/api/v1/indices/kp","GET","Yes","60","JSON, XML","900","Model Output","Every 5 min","query: window=last|6h, source=model|obs","{timestamp, kp, source, uncertainty}","400, 401, 429, 500, 503","30s","No","Grid managers assess near-term geomagnetic activity."
"/api/v1/indices/dst","GET","Yes","60","JSON, XML","900","Model Output","Every 5 min","query: window=last|6h, source=model|obs","{timestamp, dst_nT, source}","400, 401, 429, 500, 503","30s","No","Assess ring current intensity during storms."
"/api/v1/images/sdo/aia","GET","Yes","60","JSON, Binary","1500","SDO","Every 5 min","query: channel=94|131|171|193|211|304|335, time=ISO8601, size=512|1024|2048, format=png|fits|json-metadata","binary image or {metadata}","400, 401, 429, 500, 503","None","No","Researchers pull 12s-cadence EUV frames; production serves cached downsampled tiles."
"/api/v1/images/sdo/hmi/los","GET","Yes","60","JSON, Binary","1500","SDO","Every 5 min","query: time, size=512|1024|2048, format=png|fits|json-metadata","binary image or {metadata}","400, 401, 429, 500, 503","None","No","Active region tracking with line-of-sight magnetograms."
"/api/v1/images/sdo/hmi/vector","GET","Yes","45","JSON, Binary","2000","SDO","Hourly","query: time, product=bvec|bxyz, format=fits|json","{metadata}+binary or JSON vector map","400, 401, 429, 500, 503","5min","No","Modelers ingest vector fields for flare prediction."
"/api/v1/images/soho/lasco","GET","Yes","45","JSON, Binary","1800","","Every 5 min","query: camera=C2|C3, time, size, format=png|fits","binary image or {metadata}","400, 401, 429, 500, 503","30s","No","CME detection pipelines pull latest coronagraph frames."
"/api/v1/images/stereo-a","GET","Yes","45","JSON, Binary","1800","","Hourly","query: product=cor2|euvi, time, size, format=png|fits","binary image or {metadata}","400, 401, 429, 500, 503","5min","No","3D CME geometry reconstruction with side-view imagery."
"/api/v1/predictions/kp","GET","Yes","40","JSON, XML","30000","Model Output","Every 5 min","query: horizon=24|48|72|96h, include_ci=true|false","{issued_at, horizon_hours, kp_forecast:[{time,kp,ci95}] }","400, 401, 429, 500, 503","5min","Yes","Dispatch crews when forecast shows Kp≥6 within 24h."
"/api/v1/predictions/g-scale","GET","Yes","40","JSON, XML","30000","Model Output","Every 5 min","query: horizon=24|72h","{issued_at, g_scale_prob:{G1..G5}, most_likely, ci95}","400, 401, 429, 500, 503","5min","Yes","Operations planning for G3+ storm likelihood."
"/api/v1/predictions/cme-arrival","GET","Yes","30","JSON, XML","60000","DONKI, Model Output","Hourly","query: event_id|onset_time, model=wsa-enlil|pinn|ensemble","{event_id, arrival_time, uncertainty_h, speed_kms, confidence}","400, 401, 429, 500, 503","5min","Yes","Schedule satellite momentum dumps before CME shock arrival."
"/api/v1/predictions/dst","GET","Yes","40","JSON, XML","30000","Model Output","Every 5 min","query: horizon=24|48|72h","{issued_at, forecast:[{time,dst_nT,ci95}], min_dst, t_min}","400, 401, 429, 500, 503","5min","No","Assess storm intensity for transformer risk."
"/api/v1/predictions/tec","GET","Yes","30","JSON, XML","30000","Model Output","Hourly","query: region=global|bbox, horizon=24|72h, grid=0.5deg","{grid, forecast_time, tec_TECU, uncertainty}","400, 401, 429, 500, 503","5min","No","Aviation navigation planning for ionospheric disturbance."
"/api/v1/predictions/flare-probability","GET","Yes","30","JSON, XML","45000","SDO, Model Output","Hourly","query: ar_id|bbox, horizon=24|48h","{ar_id, prob_M, prob_X, features:{...}, model_version}","400, 401, 429, 500, 503","5min","No","Ground stations prepare for radio blackout risk from M/X flares."
"/api/v1/predictions/leo-drag","GET","Yes","30","JSON, XML","45000","Model Output","Hourly","query: altitude_km=200-600, inclination_deg, density_model=NRLMSISE00|hybrid, horizon=24|72h","{altitude_km, cd_estimate, rho_kgm3, drag_coeff_trend, ci95}","400, 401, 429, 500, 503","5min","No","Plan orbit-keeping burns for LEO constellations during storms."
"/api/v1/alerts/subscribe","POST","Yes","20","JSON","10000","Model Output","Every 5 min","body:{channel:email|sms|webhook, thresholds:{kp, g_scale, flare_class}, webhook_id?, filters:{region}}, headers: API-Key","{subscription_id, status, channels, thresholds}","400, 401, 429, 500, 503","None","Yes","Set Kp>5 and X-class alerts for grid and aviation ops."
"/api/v1/alerts/unsubscribe","POST","Yes","60","JSON","5000","Model Output","Every 5 min","body:{subscription_id}","{status}","400, 401, 429, 500, 503","None","No","Stop receiving a specific alert channel."
"/api/v1/alerts/active","GET","Yes","60","JSON","5000","Model Output","Every 5 min","query: severity=min|all, types=gscale|kp|flare|cme","{alerts:[{id,type,severity,start,end?,description}]}","400, 401, 429, 500, 503","30s","Yes","Operations center displays currently active warnings."
"/api/v1/alerts/history","GET","Yes","30","JSON, XML","10000","Model Output","Hourly","query: start,end, type, severity, page, page_size","{items:[{id,type,severity,timestamp,details}], page, total}","400, 401, 429, 500, 503","1hour","No","Post-incident review for compliance and reporting."
"/api/v1/history/solar-wind","GET","Yes","30","JSON, XML","20000","ACE, DSCOVR","Daily","query: start,end, fields, aggregate=1min|5min|1h, page","{series:[{time, speed_kms, density_cm3, temperature_K}], stats}","400, 401, 429, 500, 503","1hour","No","Analyze past L1 conditions vs. storm impacts."
"/api/v1/history/cme-events","GET","Yes","20","JSON, XML","20000","DONKI","Daily","query: start,end, halo_only=true|false","{events:[{id,onset, speed, half_angle, direction, links}]}","400, 401, 429, 500, 503","1hour","No","Retrieve historical CME metadata for studies."
"/api/v1/history/geomagnetic-storms","GET","Yes","20","JSON, XML","20000","Model Output","Daily","query: start,end, min_kp, include_impacts=true|false","{storms:[{start,end,max_kp,min_dst,impacts:{power,gps,aviation}}]}","400, 401, 429, 500, 503","1hour","No","Power utilities evaluate prior storm impacts."
"/api/v1/history/magnetograms","GET","Yes","20","JSON, XML","20000","SDO","Daily","query: start,end, cadence=12s|1m|1h, product=los|vector, format=links","{sequence:[{time, url, checksum}], count}","400, 401, 429, 500, 503","1hour","No","Download sequences for ML training."
