Table view
"Model İsmi","Model Tipi","Giriş Verisi","Çıkış Tahmini","TSS (True Skill Statistic)","HSS (Heidke Skill Score)","RMSE","Yanlış Alarm Oranı (%)","Hesaplama Süresi (ms/tahmin)","Avantaj","Dezavantaj"
"LSTM (Long Short-Term Memory)","Zaman Serisi","72 saatlik güneş rüzgarı parametreleri","24-96 saat Kp indeksi","0.68","0.72","1.2 (Kp birimi)","28","45","Uzun vadeli bağımlılıkları yakalar, gradyan patlaması sorunu yok","Yavaş eğitim, çok parametre"
"GRU (Gated Recurrent Unit)","Zaman Serisi","Solar wind hızı, yoğunluk, sıcaklık","Dst indeks tahmini","0.65","0.69","18 nT","32","32","LSTM'den %30 daha hızlı, daha az parametre","Çok uzun dizilerde LSTM'den düşük performans"
"Temporal Convolutional Network (TCN)","Zaman Serisi","Çok değişkenli zaman serileri (8 kanal)","Fırtına başlangıç zamanı (±6 saat)","0.71","0.74","8.5 saat","24","28","Paralel işleme, uzun geçmiş penceresi","Yüksek bellek kullanımı"
"Vision Transformer (ViT)","Görüntü İşleme","SDO/AIA tam disk görüntüleri (512x512)","Aktif bölge sınıflandırması (α, β, βγ, βγδ)","0.79","0.82","N/A (sınıflandırma)","18","120","Uzak manyetik bağlantıları yakalar, attention mekanizması","Çok veri gerektirir, yüksek hesaplama maliyeti"
"ResNet-50","Görüntü İşleme","Magnetogram dizileri (4 zaman adımı)","M/X sınıfı flare olasılığı (0-100%)","0.76","0.79","N/A","22","65","Derin özellik çıkarımı, transfer learning uyumlu","Sınıf dengesizliğine hassas"
"U-Net Segmentation","Görüntü İşleme","SOHO/LASCO koronal görüntüler","CME piksel-seviye segmentasyonu","0.81","0.84","N/A","15","95","Piksel seviyesi hassasiyet, CME geometrisi","Manuel etiketleme gerektirir"
"Physics-Informed Neural Networks (PINNs)","Hibrit (Fizik-Güdümlü)","Gözlem verileri + MHD denklem kalıntıları","Fiziksel tutarlı plazma parametreleri","0.73","0.77","0.9 (Kp birimi)","19","180","Fiziksel yasalara uygunluk, az veriyle öğrenme","Yavaş eğitim, denklem türevleri hesabı"
"Multimodal Fusion (Cross-Attention)","Hibrit (Çok Modlu)","Görüntü (ViT) + Zaman serisi (LSTM) özellikleri","Birleştirilmiş G-skalası tahmini","0.84","0.87","0.7 (Kp birimi)","12","210","Tamamlayıcı bilgi entegrasyonu, eksik veri toleransı","Karmaşık mimari, yüksek hesaplama"
"XGBoost Ensemble","Ensemble (Gradient Boosting)","Tüm model çıktıları (8 özellik vektörü)","Nihai G-skalası tahmini (G1-G5)","0.88","0.91","0.6 (Kp birimi)","9","15","Yüksek doğruluk, hızlı çıkarım, özellik önemi analizi","Bağımlı modellerin kalitesine bağlı"
"Bayesian Neural Network","Belirsizlik Tahmini","Tüm veri modaliteleri","Tahmin + posterior belirsizlik dağılımı","0.82","0.85","0.8 (Kp birimi)","14","320","Güven aralıkları, belirsizlik ölçümü","Çok yavaş, variational inference karmaşıklığı"
"Transformer-LSTM Hibrit","Hibrit (Attention + RNN)","Uzun zaman serisi (7 günlük geçmiş)","72 saatlik Kp ve Dst tahmin penceresi","0.80","0.83","0.75 (Kp birimi)","16","155","Uzun ve kısa vadeli bağımlılıkları birleştirir","Mimari karmaşıklığı, hiperparametre hassasiyeti"
